,id,perc_syn,method,sampling,map,map50,prediction,recall,fitness,precision,set,Unnamed: 0
119,p9fqvr49,375,controlnet_segmentation,brisque_best,0.417447946879564,0.7315763328785658,,0.6858855999999999,,0.7516671291253286,train,105.0
120,jkixjqef,375,lllyasviel_openpose,brisque_best,0.4524540931780176,0.7711995167028022,,0.7050565333333332,,0.7961583822388998,train,106.0
121,8kxl1dsp,875,crucible_mediapipe_face,nima_best,0.3493074,0.6873035999999999,,0.6572878,,0.7020730000000002,train,107.0
122,a66usfne,750,lllyasviel_canny,nima_best,0.5222008997690547,0.8268238671722247,,0.7473686666666666,,0.8118181313739926,train,108.0
123,dylth4jz,875,lllyasviel_canny,nima_best,0.517469,0.8245659999999999,,0.7421342000000002,,0.8297356,train,109.0
124,dylth4jz,875,lllyasviel_canny,nima_best,0.517469,0.8245659999999999,,0.7421342000000002,,0.8297356,train,110.0
125,t7pt6dy5,750,lllyasviel_openpose,nima_best,0.4845162198561747,0.8195495432623093,,0.7624530666666668,,0.81547385114319,train,111.0
126,thrlhmie,875,lllyasviel_openpose,nima_best,0.4736131974169597,0.80487057673789,,0.7285647999999999,,0.8109823038373015,train,112.0
127,u1nb9tf9,875,controlnet_segmentation,nima_best,0.3648948306512106,0.6987662360247682,,0.6399691333333333,,0.7442624864678536,train,113.0
128,d0np9zji,750,crucible_mediapipe_face,nima_best,0.3496520197899502,0.7112379622554065,,0.6411252353722142,,0.7520830568314781,train,114.0
129,vcf9o7pe,750,controlnet_segmentation,nima_best,0.4051438295709183,0.7313853674642319,,0.6894691242080789,,0.7585499613525726,train,115.0
130,532i18jj,375,lllyasviel_canny,brisque_best,0.4678154696231593,0.7865056498927874,,0.7096776,,0.7844773210701206,train,116.0
131,apv8iotw,375,crucible_mediapipe_face,brisque_best,0.4105364875861192,0.7416765840710673,,0.6708533208986767,,0.7483400644821292,train,117.0
132,4hia7h1b,375,lllyasviel_canny,random,0.499519546699426,0.8063732927932118,,0.7512815333333331,,0.7774798907869376,train,118.0
133,90z5lzvd,375,crucible_mediapipe_face,random,0.3941402635079942,0.7124573457827611,,0.6610221333333334,,0.7165954490279145,train,119.0
134,9adnsj3j,375,controlnet_segmentation,random,0.4350895908529504,0.7478552300997776,,0.6918630666666666,,0.7731437963178274,train,120.0
135,gmm96php,375,lllyasviel_openpose,random,0.4682315608832553,0.7932372510829374,,0.7183423169169169,,0.8085763721185133,train,121.0
136,bvggvjy6,625,lllyasviel_canny,random,0.5336924430621124,0.8390987280227215,,0.7601378131977389,,0.8272716021950823,train,122.0
137,nsqqdhmz,625,controlnet_segmentation,random,0.42385503021125,0.7555837309309186,,0.694490462241729,,0.7680863091909594,train,123.0
138,4npsolmu,625,crucible_mediapipe_face,random,0.368912638448001,0.6969643950684502,,0.6433972666666666,,0.7024910528067413,train,124.0
139,ysz08k3g,625,lllyasviel_openpose,random,0.5006458282233697,0.8248255820941278,,0.7529398173173172,,0.8278033632936189,train,125.0
140,bia35i15,750,lllyasviel_canny,random,0.5285480532729234,0.8372888744991591,,0.7640650666666666,,0.8384020937972823,train,126.0
141,hfn8qvo5,750,crucible_mediapipe_face,random,0.3692499810014744,0.7142834552493776,,0.6613159999999999,,0.7274834489222863,train,127.0
142,qjhi4z88,750,controlnet_segmentation,random,0.3980487599859676,0.7360436180298742,,0.7032500000000002,,0.7483243374632471,train,128.0
143,tcvckpy1,750,lllyasviel_openpose,random,0.4977002641132428,0.8381473269791866,,0.7813681333333332,,0.8109334850864914,train,129.0
144,63u2b5h5,875,lllyasviel_canny,random,0.5206430148337334,0.8368542685200953,,0.7634808000000001,,0.8313902970741512,train,130.0
145,99zhxtj0,875,crucible_mediapipe_face,random,0.3322689991478525,0.6647252975019374,,0.6381354,,0.6846561458228195,train,131.0
146,u7zx39hl,875,lllyasviel_openpose,random,0.5069551787449268,0.845637987403968,,0.7887896666666667,,0.8330586495914188,train,132.0
147,xcmit5we,875,controlnet_segmentation,random,0.3844285097940462,0.72853088585786,,0.6884665999999998,,0.7471996588705931,train,133.0
148,7sgcw83m,1000,crucible_mediapipe_face,random,0.3379231162009612,0.6765584389275306,,0.6051742666666667,,0.7032441150842028,train,134.0
149,5kow5bkn,1000,lllyasviel_openpose,random,0.5038413047712063,0.8326824758660912,,0.7902305999999999,,0.8045830740983315,train,135.0
150,z3hzfeho,1000,lllyasviel_canny,random,0.5332834087206222,0.8283605049803273,,0.7430820500278054,,0.8263184475699731,train,136.0
151,vje52z6n,1000,controlnet_segmentation,random,0.3705750672967431,0.7073997798653541,,0.6576113999999998,,0.7277353022796248,train,137.0
152,dx0red87,1250,lllyasviel_openpose,random,0.5034326871250877,0.8485903434410024,,0.7736283333333333,,0.8444492147122681,train,138.0
153,edbc9ghy,1250,lllyasviel_canny,random,0.5476633212818506,0.8448221691645348,,0.7599952666666665,,0.8472989997432235,train,139.0
154,jxrt3euh,1250,controlnet_segmentation,random,0.3638965327135177,0.6839964904947712,,0.6463647333333333,,0.7259759060200993,train,140.0
155,j06lswjn,1250,crucible_mediapipe_face,random,0.3194080584727852,0.6432627789563701,,0.6174601333333334,,0.6569118844165218,train,141.0
